username,video_id,video_url,hashtags
user.24686420,,,[]
edrecoverycoaches,7.30428E+18,,"['#edrecoverycoach', '#edtherapist', '#edtherapy', '#edrd', '#eddietician', '#miarecovry', '#edcoachtips', '#edcoach', '#miacoach', '#anacoach27']"
edrecoverycoaches,7.12698E+18,,"['#edrecvery', '#edrecoverycoach', '#edrecovers', '#edrecoveryshare', '#anarecovert', '#miarecovery', '#bedrecovry']"
edrecoverycoaches,6.97556E+18,,[]
edrecoverycoaches,7.49278E+18,,"['#anarec0very', '#edrecoverybff', '#anarecoveryy', '#edrecovry', '#edrec0very', '#anarecovry', '#edrecoverycoach', '#foodfreedom', '#foodfreedomjourney']"
edrecoverycoaches,7.49203E+18,,"['#edrecoverybff', '#anarec0very', '#anarecoveryy', '#edrecovry', '#edrec0very', '#mantras', '#anarecovry', '#toughtimes', '#toughtime', '#coaching']"
edrecoverycoaches,7.4917E+18,,"['#edrecoverybff', '#edrec0very', '#anarec0very', '#anarecoveryy', '#edrecovry', '#anarecovry']"
edrecoverycoaches,7.49133E+18,,"['#edrec0very', '#anarecoveryy', '#anarec0very', '#edrecovry', '#edsupport', '#treatmentcenter', '#erc', '#alsana']"
edrecoverycoaches,7.49099E+18,,"['#edrec0very', '#edrecovry', '#edrecoverybff', '#anarecoveryy', '#anarec0very', '#miarecovery', '#bedrecovery', '#cleaneating']"
edrecoverycoaches,7.49067E+18,,"['#edrec0very', '#edrecovry', '#edrecoverybff', '#anarec0very', '#anarecovry', '#bedrecovery']"
edrecoverycoaches,7.4902E+18,,"['#snacktime', '#eatwithme', '#edrec0very', '#cleaneating', '#emotionaleater', '#edrecovry']"
edrecoverycoaches,7.48953E+18,,"['#edrec0very', '#edrecoverybff', '#edrecovry', '#anarecoveryy', '#emotionaleater']"
edrecoverycoaches,7.48914E+18,,"['#bloatingtips', '#bloatingrelief', '#edrec0very', '#edrecovry', '#anarecoveryy', '#anarec0very', '#anarecovry']"
edrecoverycoaches,7.4887E+18,,"['#bingeeatingrecoverytip', '#bingeedrecovery', '#bedrecovery', '#emotionaleater', '#stresseatting', '#overeatingtips', '#foodcoach']"
edrecoverycoaches,7.48833E+18,,"['#proteinbar', '#proteinbars', '#snacktime', '#edrecovry', '#edrec0very', '#anarec0very', '#cleaneating']"
edrecoverycoaches,7.48799E+18,,"['#noteating', '#skippingmeals', '#fasting', '#edrec0very', '#anarec0very', '#anarecoveryy']"
edrecoverycoaches,7.48742E+18,,"['#edrec0very', '#edrecovry', '#miarecovery', '#anarecoveryy', '#anarecovry', '#orthorexiarecovery']"
edrecoverycoaches,7.48691E+18,,"['#edrec0very', '#edrecovry', '#anarecoveryy', '#anarec0very', '#emotionaleater', '#skinnytok']"
edrecoverycoaches,7.48685E+18,,"['#omelette', '#omelete', '#breakfasttime', '#freshherbs', '#edrec0very']"
edrecoverycoaches,7.48652E+18,,"['#edrec0very', '#edrecovry', '#anarecoveryy', '#bingeedrecovery', '#bedrecovery', '#miarecovery', '#edawarewness', '#edcoach']"
edrecoverycoaches,7.48632E+18,,"['#edrecovry', '#edrec0very', '#overeatingtips', '#undereating', '#miarecovery', '#edrecoverybff', '#dieting']"
